(base) yikai@PauROG:~/repository$ python train_siglip.py --data-dir Flickr8k --text-encoder transformer --epochs 200 --batch-size 64 --output-dir outputs/resnet_transformer_v4_1
/home/yikai/repository/models/transformer_encoder.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
device=cuda vocab_size=5158 text_encoder=transformer
epoch=001 train_loss=0.0733 val_loss=0.0418 scale=10.11 bias=-9.99 t2i_R@1=0.49 i2t_R@1=0.57 t2i_R@5=2.13 i2t_R@5=2.21 t2i_R@10=3.78 i2t_R@10=3.55
epoch=002 train_loss=0.0638 val_loss=0.0382 scale=10.52 bias=-9.96 t2i_R@1=1.16 i2t_R@1=0.98 t2i_R@5=4.25 i2t_R@5=4.21 t2i_R@10=7.12 i2t_R@10=7.19
epoch=003 train_loss=0.0571 val_loss=0.0367 scale=11.17 bias=-9.92 t2i_R@1=1.66 i2t_R@1=1.91 t2i_R@5=6.53 i2t_R@5=6.24 t2i_R@10=10.56 i2t_R@10=10.71
epoch=004 train_loss=0.0515 val_loss=0.0343 scale=11.81 bias=-9.89 t2i_R@1=1.95 i2t_R@1=2.21 t2i_R@5=8.16 i2t_R@5=7.64 t2i_R@10=13.00 i2t_R@10=12.41
epoch=005 train_loss=0.0464 val_loss=0.0332 scale=12.38 bias=-9.87 t2i_R@1=2.35 i2t_R@1=2.15 t2i_R@5=9.34 i2t_R@5=8.38 t2i_R@10=15.25 i2t_R@10=14.47
epoch=006 train_loss=0.0414 val_loss=0.0319 scale=12.96 bias=-9.85 t2i_R@1=3.24 i2t_R@1=3.07 t2i_R@5=11.32 i2t_R@5=10.65 t2i_R@10=18.29 i2t_R@10=16.26
epoch=007 train_loss=0.0370 val_loss=0.0301 scale=13.52 bias=-9.85 t2i_R@1=4.45 i2t_R@1=4.47 t2i_R@5=14.14 i2t_R@5=14.02 t2i_R@10=22.50 i2t_R@10=22.20
epoch=008 train_loss=0.0329 val_loss=0.0290 scale=14.01 bias=-9.85 t2i_R@1=4.75 i2t_R@1=4.59 t2i_R@5=16.29 i2t_R@5=15.39 t2i_R@10=25.66 i2t_R@10=24.16
epoch=009 train_loss=0.0294 val_loss=0.0276 scale=14.46 bias=-9.88 t2i_R@1=5.36 i2t_R@1=5.58 t2i_R@5=18.07 i2t_R@5=17.27 t2i_R@10=27.64 i2t_R@10=26.88
epoch=010 train_loss=0.0265 val_loss=0.0281 scale=14.93 bias=-9.91 t2i_R@1=5.76 i2t_R@1=5.28 t2i_R@5=18.69 i2t_R@5=17.87 t2i_R@10=28.38 i2t_R@10=26.91
epoch=011 train_loss=0.0239 val_loss=0.0275 scale=15.34 bias=-9.96 t2i_R@1=6.33 i2t_R@1=6.00 t2i_R@5=19.60 i2t_R@5=19.57 t2i_R@10=29.37 i2t_R@10=29.00
epoch=012 train_loss=0.0218 val_loss=0.0269 scale=15.76 bias=-10.01 t2i_R@1=8.01 i2t_R@1=7.64 t2i_R@5=22.35 i2t_R@5=21.63 t2i_R@10=32.81 i2t_R@10=31.44
epoch=013 train_loss=0.0202 val_loss=0.0252 scale=16.17 bias=-10.07 t2i_R@1=8.06 i2t_R@1=8.26 t2i_R@5=25.22 i2t_R@5=25.54 t2i_R@10=37.26 i2t_R@10=37.11
epoch=014 train_loss=0.0185 val_loss=0.0267 scale=16.62 bias=-10.12 t2i_R@1=7.81 i2t_R@1=7.70 t2i_R@5=23.61 i2t_R@5=22.82 t2i_R@10=34.71 i2t_R@10=33.05
epoch=015 train_loss=0.0176 val_loss=0.0251 scale=17.04 bias=-10.18 t2i_R@1=8.88 i2t_R@1=9.73 t2i_R@5=26.67 i2t_R@5=26.91 t2i_R@10=37.87 i2t_R@10=38.75
epoch=016 train_loss=0.0164 val_loss=0.0244 scale=17.49 bias=-10.23 t2i_R@1=10.06 i2t_R@1=9.55 t2i_R@5=28.28 i2t_R@5=28.22 t2i_R@10=40.10 i2t_R@10=40.33
epoch=017 train_loss=0.0155 val_loss=0.0248 scale=17.93 bias=-10.29 t2i_R@1=10.21 i2t_R@1=10.32 t2i_R@5=28.73 i2t_R@5=28.73 t2i_R@10=39.85 i2t_R@10=39.83
epoch=018 train_loss=0.0146 val_loss=0.0246 scale=18.42 bias=-10.34 t2i_R@1=11.20 i2t_R@1=11.81 t2i_R@5=30.36 i2t_R@5=30.46 t2i_R@10=41.53 i2t_R@10=41.20
epoch=019 train_loss=0.0140 val_loss=0.0249 scale=18.86 bias=-10.39 t2i_R@1=10.78 i2t_R@1=12.05 t2i_R@5=30.31 i2t_R@5=30.49 t2i_R@10=41.88 i2t_R@10=43.02
epoch=020 train_loss=0.0134 val_loss=0.0246 scale=19.30 bias=-10.44 t2i_R@1=11.99 i2t_R@1=12.50 t2i_R@5=30.95 i2t_R@5=31.80 t2i_R@10=42.67 i2t_R@10=43.50
epoch=021 train_loss=0.0127 val_loss=0.0243 scale=19.77 bias=-10.49 t2i_R@1=12.76 i2t_R@1=12.77 t2i_R@5=31.59 i2t_R@5=31.77 t2i_R@10=44.28 i2t_R@10=43.53
